image,decision,grade
75_0_0_20170111200151404.jpg.chip.jpg,keep,2
75_0_0_20170111200622706.jpg.chip.jpg,keep,4
75_0_0_20170111201111541.jpg.chip.jpg,keep,3
75_0_0_20170111201623183.jpg.chip.jpg,keep,5
75_0_0_20170111201904798.jpg.chip.jpg,keep,3
75_0_0_20170111202232554.jpg.chip.jpg,keep,4
75_0_0_20170111202241586.jpg.chip.jpg,keep,1
75_0_0_20170111203722942.jpg.chip.jpg,keep,1
75_0_0_20170111203745246.jpg.chip.jpg,discard,5
75_0_0_20170111203855367.jpg.chip.jpg,keep,2
75_0_0_20170111203916648.jpg.chip.jpg,keep,2
75_0_0_20170111204138781.jpg.chip.jpg,discard,5
75_0_0_20170111204348525.jpg.chip.jpg,keep,1
75_0_0_20170111204722982.jpg.chip.jpg,keep,1
75_0_0_20170111204808623.jpg.chip.jpg,keep,5
75_0_0_20170111204851535.jpg.chip.jpg,keep,1
75_0_0_20170111204855557.jpg.chip.jpg,keep,4
75_0_0_20170111204958277.jpg.chip.jpg,discard,5
75_0_0_20170111205052872.jpg.chip.jpg,discard,5
75_0_0_20170111205059862.jpg.chip.jpg,discard,5
75_0_0_20170111205133334.jpg.chip.jpg,keep,3
75_0_0_20170111205232856.jpg.chip.jpg,discard,5
75_0_0_20170111205238382.jpg.chip.jpg,keep,3
75_0_0_20170111205248257.jpg.chip.jpg,keep,3
75_0_0_20170111205314158.jpg.chip.jpg,keep,3
75_0_0_20170111205635250.jpg.chip.jpg,keep,4
75_0_0_20170111205739880.jpg.chip.jpg,keep,2
75_0_0_20170111205905746.jpg.chip.jpg,keep,4
75_0_0_20170111205932368.jpg.chip.jpg,keep,3
75_0_0_20170111210157776.jpg.chip.jpg,keep,2
75_0_0_20170111210208339.jpg.chip.jpg,keep,1
75_0_0_20170111210525525.jpg.chip.jpg,keep,2
75_0_0_20170111210552235.jpg.chip.jpg,keep,3
75_0_0_20170111210708463.jpg.chip.jpg,keep,5
75_0_0_20170111210835093.jpg.chip.jpg,keep,1
75_0_0_20170111210855670.jpg.chip.jpg,keep,2
75_0_0_20170111210950605.jpg.chip.jpg,keep,1
75_0_0_20170111222532345.jpg.chip.jpg,keep,5
75_0_0_20170112222108897.jpg.chip.jpg,discard,5
75_0_0_20170112224041371.jpg.chip.jpg,discard,5
75_0_0_20170113185416591.jpg.chip.jpg,discard,5
75_0_0_20170116233015609.jpg.chip.jpg,discard,5
75_0_0_20170117163552393.jpg.chip.jpg,discard,5
75_0_0_20170117171021853.jpg.chip.jpg,keep,2
75_0_0_20170117172928993.jpg.chip.jpg,keep,1
75_0_0_20170117173011522.jpg.chip.jpg,keep,1
75_0_0_20170117173104681.jpg.chip.jpg,keep,1
75_0_0_20170117173746334.jpg.chip.jpg,keep,4
75_0_0_20170117174423110.jpg.chip.jpg,keep,1
75_0_0_20170117174511134.jpg.chip.jpg,keep,5
75_0_0_20170117174518205.jpg.chip.jpg,keep,4
75_0_0_20170117174632541.jpg.chip.jpg,keep,2
75_0_0_20170117174808021.jpg.chip.jpg,keep,3
75_0_0_20170117174833509.jpg.chip.jpg,keep,1
75_0_0_20170117174918045.jpg.chip.jpg,discard,3
75_0_0_20170117175212732.jpg.chip.jpg,keep,1
75_0_0_20170117175217462.jpg.chip.jpg,keep,2
75_0_0_20170117191812939.jpg.chip.jpg,keep,2
75_0_0_20170117192054194.jpg.chip.jpg,discard,5
75_0_0_20170117192218987.jpg.chip.jpg,keep,2
75_0_0_20170117192228563.jpg.chip.jpg,keep,3
75_0_0_20170117192234922.jpg.chip.jpg,keep,3
75_0_0_20170117204739711.jpg.chip.jpg,keep,2
75_0_0_20170120224003940.jpg.chip.jpg,keep,1
75_0_0_20170120225925506.jpg.chip.jpg,keep,1
75_1_0_20170109132033628.jpg.chip.jpg,keep,5
75_1_0_20170109142100690.jpg.chip.jpg,keep,1
75_1_0_20170109150808608.jpg.chip.jpg,keep,1
75_1_0_20170110122303534.jpg.chip.jpg,keep,3
75_1_0_20170110131534363.jpg.chip.jpg,keep,2
75_1_0_20170110131723117.jpg.chip.jpg,keep,2
75_1_0_20170110140824258.jpg.chip.jpg,keep,2
75_1_0_20170110141247761.jpg.chip.jpg,keep,1
75_1_0_20170110141709735.jpg.chip.jpg,keep,1
75_1_0_20170110154312939.jpg.chip.jpg,keep,2
75_1_0_20170110180500719.jpg.chip.jpg,keep,3
75_1_0_20170110181054680.jpg.chip.jpg,keep,4
75_1_0_20170110181540242.jpg.chip.jpg,discard,5
75_1_0_20170110181743217.jpg.chip.jpg,keep,5
75_1_0_20170110181942190.jpg.chip.jpg,keep,3
75_1_0_20170110182151180.jpg.chip.jpg,keep,4
75_1_0_20170110182459565.jpg.chip.jpg,discard,5
75_1_0_20170110182543266.jpg.chip.jpg,keep,4
75_1_0_20170110182959300.jpg.chip.jpg,keep,1
75_1_0_20170110183152937.jpg.chip.jpg,keep,1
75_1_0_20170110183657201.jpg.chip.jpg,keep,3
75_1_0_20170110183826875.jpg.chip.jpg,keep,2
75_1_0_20170110183942473.jpg.chip.jpg,discard,5
75_1_0_20170110184033219.jpg.chip.jpg,keep,3
75_1_0_20170120221925550.jpg.chip.jpg,keep,2
75_1_0_20170120221956669.jpg.chip.jpg,discard,5
75_1_0_20170120222715178.jpg.chip.jpg,keep,4
75_1_0_20170120225350768.jpg.chip.jpg,keep,4
75_1_0_20170120225456154.jpg.chip.jpg,keep,2
75_1_0_20170120225821626.jpg.chip.jpg,keep,2
75_1_0_20170120230123756.jpg.chip.jpg,keep,3
75_1_0_20170120230326690.jpg.chip.jpg,keep,4
76_0_0_20170104213515132.jpg.chip.jpg,keep,2
76_0_0_20170105174547781.jpg.chip.jpg,keep,1
76_0_0_20170111171747674.jpg.chip.jpg,keep,1
76_0_0_20170111201015692.jpg.chip.jpg,keep,2
76_0_0_20170111201944904.jpg.chip.jpg,keep,3
76_0_0_20170111210148707.jpg.chip.jpg,keep,4
76_0_0_20170111210806003.jpg.chip.jpg,discard,4
76_0_0_20170111221823004.jpg.chip.jpg,discard,5
76_0_0_20170111222035117.jpg.chip.jpg,keep,5
76_0_0_20170111222213998.jpg.chip.jpg,keep,4
76_0_0_20170111222424361.jpg.chip.jpg,keep,5
76_0_0_20170113175603924.jpg.chip.jpg,keep,3
76_0_0_20170116233204210.jpg.chip.jpg,keep,3
76_0_0_20170120223813862.jpg.chip.jpg,discard,5
76_0_0_20170120224044694.jpg.chip.jpg,keep,3
76_1_0_20170110131744527.jpg.chip.jpg,keep,2
76_1_0_20170110131747399.jpg.chip.jpg,keep,3
76_1_0_20170110140935777.jpg.chip.jpg,keep,2
76_1_0_20170110160644096.jpg.chip.jpg,keep,4
76_1_0_20170110175728311.jpg.chip.jpg,keep,1
76_1_0_20170110180142396.jpg.chip.jpg,keep,2
76_1_0_20170110180413588.jpg.chip.jpg,keep,3
76_1_0_20170110181320253.jpg.chip.jpg,keep,5
76_1_0_20170110181611591.jpg.chip.jpg,keep,5
76_1_0_20170110181730883.jpg.chip.jpg,keep,4
76_1_0_20170110182047993.jpg.chip.jpg,keep,2
76_1_0_20170110182941342.jpg.chip.jpg,discard,5
76_1_0_20170110183026065.jpg.chip.jpg,keep,2
76_1_0_20170112204943874.jpg.chip.jpg,discard,5
76_1_0_20170120140118089.jpg.chip.jpg,discard,5
76_1_0_20170120225354841.jpg.chip.jpg,discard,5
76_1_0_20170120225951434.jpg.chip.jpg,discard,5
77_0_0_20170109015126245.jpg.chip.jpg,keep,4
77_0_0_20170109132051992.jpg.chip.jpg,discard,5
77_0_0_20170111202327200.jpg.chip.jpg,keep,1
77_0_0_20170111211341479.jpg.chip.jpg,keep,4
77_0_0_20170111211407488.jpg.chip.jpg,keep,3
77_0_0_20170111222228671.jpg.chip.jpg,keep,5
77_0_0_20170111222408207.jpg.chip.jpg,keep,5
77_0_0_20170113210319811.jpg.chip.jpg,keep,5
77_1_0_20170110122639530.jpg.chip.jpg,keep,2
77_1_0_20170110125310561.jpg.chip.jpg,keep,3
77_1_0_20170110131558278.jpg.chip.jpg,discard,5
77_1_0_20170110132442352.jpg.chip.jpg,keep,2
77_1_0_20170110140346806.jpg.chip.jpg,discard,5
77_1_0_20170110140643082.jpg.chip.jpg,keep,4
77_1_0_20170110160644117.jpg.chip.jpg,keep,3
77_1_0_20170110180511080.jpg.chip.jpg,keep,4
77_1_0_20170110181611591.jpg.chip.jpg,keep,1
77_1_0_20170110181616162.jpg.chip.jpg,discard,5
77_1_0_20170110183741484.jpg.chip.jpg,discard,5
77_1_0_20170113002117891.jpg.chip.jpg,discard,5
77_1_0_20170120221930573.jpg.chip.jpg,discard,5
78_0_0_20170111171747679.jpg.chip.jpg,keep,3
78_0_0_20170111200159377.jpg.chip.jpg,keep,4
78_0_0_20170111204704023.jpg.chip.jpg,keep,2
78_0_0_20170111210105923.jpg.chip.jpg,keep,5
78_0_0_20170111210454101.jpg.chip.jpg,discard,5
78_0_0_20170111210848588.jpg.chip.jpg,discard,5
78_0_0_20170111221741900.jpg.chip.jpg,keep,4
78_0_0_20170111221840478.jpg.chip.jpg,keep,4
78_0_0_20170111221844550.jpg.chip.jpg,discard,5
78_0_0_20170111221952212.jpg.chip.jpg,discard,5
78_0_0_20170111222218304.jpg.chip.jpg,keep,3
78_0_0_20170111222249342.jpg.chip.jpg,discard,5
78_0_0_20170111222257902.jpg.chip.jpg,keep,5
78_0_0_20170111222400611.jpg.chip.jpg,keep,1
78_0_0_20170111222436497.jpg.chip.jpg,keep,4
78_0_0_20170111222500159.jpg.chip.jpg,keep,3
78_0_0_20170111222508641.jpg.chip.jpg,discard,5
78_0_0_20170111222529376.jpg.chip.jpg,keep,2
78_0_0_20170111222546535.jpg.chip.jpg,discard,5
78_0_0_20170111223343146.jpg.chip.jpg,keep,3
78_0_0_20170111223832508.jpg.chip.jpg,keep,2
78_0_0_20170112224707532.jpg.chip.jpg,keep,2
78_0_0_20170116233355259.jpg.chip.jpg,discard,5
78_0_0_20170117184536534.jpg.chip.jpg,keep,3
78_0_0_20170120223021915.jpg.chip.jpg,keep,1
78_0_0_20170120223933893.jpg.chip.jpg,discard,2
78_0_0_20170120224525249.jpg.chip.jpg,keep,2
78_0_0_20170120225240993.jpg.chip.jpg,keep,5
78_0_0_20170120225718369.jpg.chip.jpg,keep,4
78_0_0_20170120230506347.jpg.chip.jpg,keep,4
78_1_0_20170110131945504.jpg.chip.jpg,keep,2
78_1_0_20170110141052049.jpg.chip.jpg,keep,4
78_1_0_20170110180142396.jpg.chip.jpg,keep,3
78_1_0_20170110181107549.jpg.chip.jpg,keep,4
78_1_0_20170110181616162.jpg.chip.jpg,keep,2
78_1_0_20170120140110282.jpg.chip.jpg,keep,1
78_1_0_20170120140748041.jpg.chip.jpg,keep,1
78_1_0_20170120223855310.jpg.chip.jpg,keep,4
78_1_0_20170120224727472.jpg.chip.jpg,keep,3
78_1_0_20170120225556721.jpg.chip.jpg,discard,5
78_1_0_20170120230348881.jpg.chip.jpg,keep,2
78_1_0_20170120230432160.jpg.chip.jpg,keep,3
78_1_0_20170120230523930.jpg.chip.jpg,keep,1
78_1_0_20170120230525666.jpg.chip.jpg,keep,2
79_0_0_20170111200506756.jpg.chip.jpg,keep,2
79_0_0_20170111205953011.jpg.chip.jpg,keep,5
79_0_0_20170111210813495.jpg.chip.jpg,keep,4
79_0_0_20170111222200062.jpg.chip.jpg,keep,3
79_0_0_20170111222349717.jpg.chip.jpg,keep,1
79_0_0_20170111222432817.jpg.chip.jpg,keep,2
79_0_0_20170111222511980.jpg.chip.jpg,discard,5
79_0_0_20170111223823788.jpg.chip.jpg,keep,1
79_1_0_20170110122630590.jpg.chip.jpg,keep,3
79_1_0_20170110131753196.jpg.chip.jpg,keep,2
79_1_0_20170110141543912.jpg.chip.jpg,keep,1
79_1_0_20170110151406182.jpg.chip.jpg,keep,4
79_1_0_20170111201959926.jpg.chip.jpg,keep,5
79_1_0_20170120225601889.jpg.chip.jpg,keep,2
79_1_0_20170120225803298.jpg.chip.jpg,keep,4
79_1_0_20170120225812145.jpg.chip.jpg,keep,2
79_1_0_20170120225840978.jpg.chip.jpg,keep,1
80_0_0_20170105175505310.jpg.chip.jpg,keep,2
80_0_0_20170110183557670.jpg.chip.jpg,keep,2
80_0_0_20170111200927317.jpg.chip.jpg,keep,3
80_0_0_20170111201430389.jpg.chip.jpg,keep,3
80_0_0_20170111202811684.jpg.chip.jpg,keep,3
80_0_0_20170111205531200.jpg.chip.jpg,keep,4
80_0_0_20170111205541652.jpg.chip.jpg,keep,2
80_0_0_20170111205626183.jpg.chip.jpg,keep,4
80_0_0_20170111205921074.jpg.chip.jpg,keep,3
80_0_0_20170111210128898.jpg.chip.jpg,keep,4
80_0_0_20170111210305500.jpg.chip.jpg,keep,3
80_0_0_20170111211324676.jpg.chip.jpg,keep,3
80_0_0_20170111211335909.jpg.chip.jpg,keep,2
80_0_0_20170111211441005.jpg.chip.jpg,discard,5
80_0_0_20170111211457352.jpg.chip.jpg,keep,4
80_0_0_20170111211508161.jpg.chip.jpg,keep,5
80_0_0_20170111211628015.jpg.chip.jpg,discard,5
80_0_0_20170111211700924.jpg.chip.jpg,keep,4
80_0_0_20170111221815342.jpg.chip.jpg,keep,3
80_0_0_20170111221949087.jpg.chip.jpg,keep,4
80_0_0_20170111222041471.jpg.chip.jpg,keep,2
80_0_0_20170111222138149.jpg.chip.jpg,keep,3
