image,decision,grade
class_0.5_weightmap.jpg,keep,1.0
class_3.0_weightmap.jpg,keep,5.5
class_1.0_weightmap.jpg,keep,1.0
class_0.5_weightmap.jpg,keep,0.5
class_1.0_weightmap.jpg,keep,1.0
class_0.5_weightmap.jpg,keep,1.5
class_3.5_weightmap.jpg,keep,4.0
class_1.5_weightmap.jpg,keep,2.0
class_2.0_weightmap.jpg,keep,2.5
class_0.5_weightmap.jpg,keep,0.5
class_4.5_weightmap.jpg,keep,3.5
class_4.0_weightmap.jpg,keep,4.0
class_2.0_weightmap.jpg,keep,2.0
class_4.5_weightmap.jpg,keep,3.5
class_2.0_weightmap.jpg,keep,2.5
class_2.5_weightmap.jpg,keep,2.5
class_2.0_weightmap.jpg,keep,1.5
class_1.0_weightmap.jpg,keep,0.5
class_3.5_weightmap.jpg,keep,4.5
class_3.5_weightmap.jpg,keep,5.0
class_1.0_weightmap.jpg,keep,1.0
class_0.5_weightmap.jpg,keep,1.0
class_0.5_weightmap.jpg,keep,1.5
class_4.5_weightmap.jpg,keep,3.5
class_3.0_weightmap.jpg,keep,5.0
class_4.5_weightmap.jpg,keep,4.5
class_1.5_weightmap.jpg,keep,2.0
class_3.5_weightmap.jpg,keep,4.5
class_4.0_weightmap.jpg,keep,4.0
class_0.5_weightmap.jpg,keep,1.0
class_2.5_weightmap.jpg,keep,2.5
class_1.0_weightmap.jpg,keep,1.0
class_1.0_weightmap.jpg,keep,0.5
class_3.0_weightmap.jpg,keep,5.0
class_0.5_weightmap.jpg,keep,0.5
class_1.0_weightmap.jpg,keep,0.5
class_2.0_weightmap.jpg,keep,1.0
class_3.5_weightmap.jpg,keep,4.0
class_4.0_weightmap.jpg,keep,3.5
class_5.5_weightmap.jpg,keep,3.5
